Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer
Was ist die Einheit der Energie?,Joule (J),Watt (W),Newton (N),Meter (m),20,1
Welche Formel beschreibt die Lageenergie?,E = m · v²,E = F · s,E = m · g · h,E = P · t,20,3
Ein Körper hat Lageenergie wenn er...,sich in einer Höhe befindet,sich bewegt,warm ist,eine Masse hat,20,1
Was passiert mit E_pot wenn die Höhe verdoppelt wird?,Sie bleibt gleich,Sie verdoppelt sich,Sie halbiert sich,Sie vervierfacht sich,20,2
Was bedeutet v² in der Formel E_kin?,Geschwindigkeit quadriert,Geschwindigkeit halbiert,Geschwindigkeit verdoppelt,Geschwindigkeit bleibt gleich,20,1
Ball (2 kg) auf Tisch (h = 5 m). E_pot = ? [g = 10],10 J,50 J,200 J,100 J,30,4
Was ist die Bewegungsenergie eines ruhenden Körpers?,Unendlich,0 J,Seine Masse,Nicht definiert,20,2
Geschwindigkeit verdoppelt - E_kin wird...,doppelt so groß,viermal so groß,halb so groß,gleich groß,20,2
Auto (1000 kg) mit v = 10 m/s. E_kin = ?,50000 J,5000 J,10000 J,100000 J,30,1
Der Energieerhaltungssatz sagt: Energie kann...,erzeugt werden,vernichtet werden,nur umgewandelt werden,verschwinden,20,3
Ein Stein fällt vom Turm. Seine Energie...,E_kin wird zu E_pot,verschwindet,E_pot wird zu E_kin,entsteht neu,20,3
Flugzeug in großer Höhe mit hoher Geschwindigkeit hat...,nur Lageenergie,nur Bewegungsenergie,keine Energie,Lage- und Bewegungsenergie,20,4
g = 10 m/s² ist...,die Erdbeschleunigung,die Geschwindigkeit,die Höhe,die Masse der Erde,20,1
E_pot = 4 kg · 10 m/s² · 5 m = ?,20 J,40 J,200 J,400 J,30,3
Pendel schwingt. Am tiefsten Punkt ist...,E_pot maximal,E_ges = 0,alles gleich,E_kin maximal,20,4
Wofür steht J in Joule?,Japan,James Joule (Physiker),Jahresenergie,Jetzt,20,2
Was ist 5² ?,25,10,15,50,20,1
Fahrradfahrer bremst. E_kin wird zu...,Lageenergie,Masse,Wärme,nichts,20,3
E_kin = ½ · 4 kg · (5 m/s)² = ?,100 J,25 J,50 J,10 J,30,3
Auf dem Mond (g kleiner) hat ein Körper...,mehr E_pot,gleich viel E_pot,keine E_pot,weniger E_pot,20,4
Ball hochgeworfen. Am höchsten Punkt ist...,v maximal,v = 0 und E_kin = 0,E_pot = 0,E_ges = 0,20,2
Welcher hat größte E_kin? (alle m = 2 kg),v = 5 m/s,v = 3 m/s,v = 8 m/s,v = 10 m/s,30,4
E_pot = 500 J und E_kin = 300 J. E_ges = ?,800 J,200 J,300 J,500 J,20,1
Was ist √100 ?,10,5,20,50,20,1
Stein (1 kg) fällt aus 20 m. v unten = ? [g = 10],10 m/s,20 m/s,40 m/s,200 m/s,30,2
Was ist KEINE Energieform?,Wärmeenergie,Lageenergie,Kraftenergie,Bewegungsenergie,20,3
E_kin = 200 J und m = 4 kg. v = ?,5 m/s,20 m/s,50 m/s,10 m/s,30,4
Bei Reibung wird mechanische Energie zu...,Wärme,mehr Bewegung,Masse,Höhe,20,1
Auto rollt Berg hinauf und stoppt. E_kin wurde zu...,Wärme,Masse,E_pot,nichts,20,3
Was ist ½ · 10 · 36 ?,90 J,360 J,180 J,720 J,20,3
